,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr,param_module__hidden_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,decimation_factor,model_type,gridsearch_hash,param_module__channels,param_module__kernel_size,param_module__d_model,param_module__nhead,param_module__num_layers,param_module__patch_size,param_module__downsample,param_module__reservoir_size
17,0.1681838512420654,0.0191160980721703,0.0491098880767822,0.0128765451868799,0.001,,"{'lr': 0.001, 'module__downsample': 16, 'module__reservoir_size': 200}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ai,6400,3,Reservoir,f4c4fae381,,,,,,,16.0,200.0
3,0.3644726276397705,0.0260258661012814,0.0107568264007568,0.0011212070809948,0.001,,"{'lr': 0.001, 'module__channels': 16, 'module__kernel_size': 5}",1.0,0.0,1.0,1.0,1.0,0.8,0.4000000000000001,1,1.0,0.0,1.0,1.0,1.0,0.8,0.4000000000000001,concat,6400,3,CNN1D,1fff5cd33c,16.0,5.0,,,,,,
4,1.9897953510284423,0.0963965303127198,0.0132131576538085,0.0023874035340879,0.001,,"{'lr': 0.001, 'module__d_model': 32, 'module__nhead': 4, 'module__num_layers': 2, 'module__patch_size': 32}",1.0,0.0,1.0,1.0,1.0,0.8,0.4000000000000001,1,1.0,0.0,1.0,1.0,1.0,0.8,0.4000000000000001,concat,6400,3,Transformer,307b5ce072,,,32.0,4.0,2.0,32.0,,
6,1.043032169342041,0.119060506577493,0.0314710617065429,0.002350360363633,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",1.0,1.0,0.0,1.0,1.0,0.8,0.4,1,1.0,1.0,0.0,1.0,1.0,0.8,0.4,difference,6400,3,LSTM,e5f6ee940c,,,,,,,,
10,0.5660645484924316,0.0494104553580815,0.0081337451934814,0.0012494012987326,0.001,,"{'lr': 0.001, 'module__d_model': 32, 'module__nhead': 4, 'module__num_layers': 2, 'module__patch_size': 32}",1.0,1.0,1.0,1.0,0.0,0.8,0.4,1,1.0,1.0,1.0,1.0,0.0,0.8,0.4,difference,6400,3,Transformer,307b5ce072,,,32.0,4.0,2.0,32.0,,
21,0.1577480316162109,0.0126689971029925,0.0056908130645751,0.0014454940979408,0.001,,"{'lr': 0.001, 'module__channels': 16, 'module__kernel_size': 5}",1.0,1.0,1.0,1.0,0.0,0.8,0.4,1,1.0,1.0,1.0,1.0,0.0,0.8,0.4,enmo,6400,3,CNN1D,1fff5cd33c,16.0,5.0,,,,,,
12,1.0001949310302731,0.1154140147394161,0.027455186843872,0.0029619764060656,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",0.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.4216370213557839,1,0.0,0.9743589743589742,0.0,1.0,1.0,0.5948717948717949,0.4858010187811298,ai,6400,3,LSTM,e5f6ee940c,,,,,,,,
2,5.924152755737305,0.1090114107440277,0.2154942035675048,0.011066802804517,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",1.0,1.0,0.0,0.0,1.0,0.6,0.4898979485566356,1,1.0,1.0,0.0,0.0,1.0,0.6,0.4898979485566356,concat,6400,3,RNN,e5f6ee940c,,,,,,,,
7,8.339407682418823,0.1072268576936919,0.2647692680358887,0.0078472789836958,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",1.0,0.0,1.0,0.0,1.0,0.6,0.4898979485566356,1,1.0,0.0,1.0,0.0,1.0,0.6,0.4898979485566356,difference,6400,3,GRU,e5f6ee940c,,,,,,,,
8,3.310158681869507,0.0406237570157127,0.1055052757263183,0.0106783598527738,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",1.0,0.0,0.0,1.0,1.0,0.6,0.4898979485566356,1,1.0,0.0,0.0,1.0,1.0,0.6,0.4898979485566356,difference,6400,3,RNN,e5f6ee940c,,,,,,,,
9,0.1859048366546631,0.0362079762846775,0.0084784507751464,0.0019910500551667,0.001,,"{'lr': 0.001, 'module__channels': 16, 'module__kernel_size': 5}",1.0,1.0,1.0,0.0,0.0,0.6,0.4898979485566356,1,1.0,1.0,1.0,0.0,0.0,0.6,0.4898979485566356,difference,6400,3,CNN1D,1fff5cd33c,16.0,5.0,,,,,,
14,3.329567384719849,0.0572159612490121,0.1082878112792968,0.0152267935041375,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",1.0,0.0,1.0,0.0,1.0,0.6,0.4898979485566356,1,1.0,0.0,1.0,0.0,0.918918918918919,0.5837837837837838,0.4775760564564678,ai,6400,3,RNN,e5f6ee940c,,,,,,,,
