,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr,param_module__hidden_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,decimation_factor,model_type,gridsearch_hash,param_module__channels,param_module__kernel_size,param_module__d_model,param_module__nhead,param_module__num_layers,param_module__patch_size,param_module__downsample,param_module__reservoir_size
11,0.2075000286102294,0.0092406036012088,0.0486566066741943,0.0073249114514276,0.001,,"{'lr': 0.001, 'module__downsample': 16, 'module__reservoir_size': 200}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,enmo,6400,3,Reservoir,f4c4fae381,,,,,,,16.0,200.0
3,0.169913101196289,0.0155029656023368,0.011143159866333,0.0070938150705523,0.001,,"{'lr': 0.001, 'module__channels': 16, 'module__kernel_size': 5}",1.0,0.0,1.0,1.0,1.0,0.8,0.4000000000000001,1,1.0,0.0,1.0,1.0,1.0,0.8,0.4000000000000001,ai,6400,3,CNN1D,1fff5cd33c,16.0,5.0,,,,,,
12,1.3988523006439209,0.1571927164123215,0.0337125301361084,0.0027619561726496,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",1.0,0.0,1.0,1.0,1.0,0.8,0.4000000000000001,1,1.0,0.0,1.0,1.0,1.0,0.8,0.4000000000000001,raw,6400,3,LSTM,e5f6ee940c,,,,,,,,
9,0.1986636161804199,0.0248196186093937,0.0113361358642578,0.0068659304501199,0.001,,"{'lr': 0.001, 'module__channels': 16, 'module__kernel_size': 5}",1.0,1.0,1.0,0.0,1.0,0.8,0.4,1,1.0,1.0,1.0,0.0,1.0,0.8,0.4,enmo,6400,3,CNN1D,1fff5cd33c,16.0,5.0,,,,,,
16,0.7761098861694335,0.0776156380429418,0.0131933212280273,0.0068683641008519,0.001,,"{'lr': 0.001, 'module__d_model': 32, 'module__nhead': 4, 'module__num_layers': 2, 'module__patch_size': 32}",1.0,1.0,0.0,1.0,1.0,0.8,0.4,1,1.0,1.0,0.0,1.0,1.0,0.8,0.4,raw,6400,3,Transformer,307b5ce072,,,32.0,4.0,2.0,32.0,,
17,0.169827127456665,0.0121571893493329,0.0458051204681396,0.0087171411239244,0.001,,"{'lr': 0.001, 'module__downsample': 16, 'module__reservoir_size': 200}",1.0,1.0,1.0,1.0,0.0,0.8,0.4,1,1.0,1.0,1.0,1.0,0.0,0.8,0.4,raw,6400,3,Reservoir,f4c4fae381,,,,,,,16.0,200.0
2,3.185705137252808,0.0272522428890877,0.0954223155975341,0.0027884376028857,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",1.0,1.0,0.75,0.0,1.0,0.75,0.3872983346207417,1,1.0,1.0,0.6206896551724138,0.0,1.0,0.7241379310344828,0.3907369785990426,ai,6400,3,RNN,e5f6ee940c,,,,,,,,
4,0.5494765758514404,0.0196964526746315,0.0076329231262207,0.0065907095341657,0.001,,"{'lr': 0.001, 'module__d_model': 32, 'module__nhead': 4, 'module__num_layers': 2, 'module__patch_size': 32}",1.0,0.0,0.0,1.0,1.0,0.6,0.4898979485566356,1,1.0,0.0,0.0,1.0,1.0,0.6,0.4898979485566356,ai,6400,3,Transformer,307b5ce072,,,32.0,4.0,2.0,32.0,,
5,0.1668816566467285,0.0295385410867926,0.0452812671661376,0.0117009713714852,0.001,,"{'lr': 0.001, 'module__downsample': 16, 'module__reservoir_size': 200}",1.0,0.0,1.0,1.0,0.0,0.6,0.4898979485566356,1,1.0,0.0,1.0,1.0,0.0,0.6,0.4898979485566356,ai,6400,3,Reservoir,f4c4fae381,,,,,,,16.0,200.0
6,1.1426324367523193,0.0849931212351858,0.0335617065429687,0.0065536436244242,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",0.0,1.0,0.0,1.0,1.0,0.6,0.4898979485566356,1,0.0,1.0,0.0,1.0,1.0,0.6,0.4898979485566356,enmo,6400,3,LSTM,e5f6ee940c,,,,,,,,
13,10.235225343704224,1.1596318812875237,0.326927375793457,0.0517940350906352,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",1.0,1.0,0.0,0.0,1.0,0.6,0.4898979485566356,1,1.0,1.0,0.0,0.0,1.0,0.6,0.4898979485566356,raw,6400,3,GRU,e5f6ee940c,,,,,,,,
0,1.0561501026153564,0.536616218095843,0.0227082729339599,0.0068578526907473,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",0.0,0.0,0.0,1.0,1.0,0.4,0.4898979485566356,1,0.0,0.0,0.0,1.0,1.0,0.4,0.4898979485566356,ai,6400,3,LSTM,e5f6ee940c,,,,,,,,
7,8.435359048843384,0.1055683756867054,0.258634614944458,0.0175313725571478,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",0.0,0.0,1.0,0.0,1.0,0.4,0.4898979485566356,1,0.0,0.0,1.0,0.0,1.0,0.4,0.4898979485566356,enmo,6400,3,GRU,e5f6ee940c,,,,,,,,
8,3.2453885078430176,0.0572090273794656,0.1001379489898681,0.0053161247250358,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",1.0,0.0,1.0,0.0,0.0,0.4,0.4898979485566356,1,1.0,0.0,1.0,0.0,0.0,0.4,0.4898979485566356,enmo,6400,3,RNN,e5f6ee940c,,,,,,,,
10,0.6165803909301758,0.0530650687638582,0.0083414554595947,0.0064456906979432,0.001,,"{'lr': 0.001, 'module__d_model': 32, 'module__nhead': 4, 'module__num_layers': 2, 'module__patch_size': 32}",0.0,0.0,1.0,0.0,1.0,0.4,0.4898979485566356,1,0.0,0.0,1.0,0.0,1.0,0.4,0.4898979485566356,enmo,6400,3,Transformer,307b5ce072,,,32.0,4.0,2.0,32.0,,
14,3.556527328491211,0.0973078957018936,0.1179865837097167,0.0183373022155594,0.001,16.0,"{'lr': 0.001, 'module__hidden_size': 16}",0.0,1.0,1.0,0.0,0.0,0.4,0.4898979485566356,1,0.0,1.0,1.0,0.0,0.0,0.4,0.4898979485566356,raw,6400,3,RNN,e5f6ee940c,,,,,,,,
