,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__callbacks__early_stopping__patience,param_model__lr,param_model__max_epochs,param_model__module__bidirectional,param_model__module__dropout,param_model__module__hidden_size,param_model__module__num_layers,param_model__module__readout_mode,param_model__optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,method,window_size,decimation_factor,model_type,gridsearch_hash,param_model__module__d_model,param_model__module__dim_feedforward,param_model__module__nhead,param_model__module__patch_size,param_model__module__channels,param_model__module__kernel_size,param_model__module__downsample,param_model__module__input_scaling,param_model__module__leak_rate,param_model__module__reservoir_size,param_model__module__spectral_radius
14,5.807862615585327,0.9850019983757976,0.0218869686126709,0.0041426217900259,64,10,3e-05,500,,0.1,,2.0,,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 3e-05, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 384, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 2, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.8095238095238095,0.8901515151515151,0.9143879376437516,0.9097035040431268,0.8484546360917248,0.8744442804907855,0.0399388406930358,1,0.9033189033189032,0.932769514921746,0.9198428045661532,0.9273368141292668,0.916480120446126,0.919949631476439,0.0100752162947062,enmo_ai,6400,3,Transformer,b24ce2b4c8,96.0,384.0,4.0,32.0,,,,,,,
15,3.163591766357422,0.6510683593431548,0.0243582725524902,0.0029509699259857,128,10,0.0002,500,,0.1,,3.0,,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0002, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 128, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 3, 'model__module__patch_size': 16, 'model__optimizer__weight_decay': 0.0001}",0.8291938997821351,0.9056910569105692,0.8930851063829788,0.9097035040431268,0.832967032967033,0.8741281200171684,0.0355935766713153,1,0.8785857963503253,0.8692874692874692,0.9043424317617866,0.8832348932303498,0.9371576710913592,0.8945216523442581,0.0242172840552742,enmo_ai_jerk,6400,3,Transformer,b24ce2b4c8,96.0,128.0,4.0,16.0,,,,,,,
13,2.5627402782440187,0.7746815176083257,0.0381736278533935,0.0039380783455913,64,10,0.0002,500,,0.25,,3.0,,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0002, 'model__max_epochs': 500, 'model__module__d_model': 128, 'model__module__dim_feedforward': 256, 'model__module__dropout': 0.25, 'model__module__nhead': 4, 'model__module__num_layers': 3, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.7996422182468694,0.861101607937051,0.849438202247191,0.7742587601078168,0.8986936816848841,0.8366268940447625,0.0444366464544366,1,0.6180618061806181,0.9185610409491006,0.952939022157114,0.8723834988540871,0.8761362501248626,0.8476163236531565,0.1185310924591451,raw_enmo_ai_jerk,6400,3,Transformer,b24ce2b4c8,128.0,256.0,4.0,32.0,,,,,,,
9,79.40035762786866,1.05175414982404,0.056254243850708,0.0042868520958256,128,10,0.0003,500,True,0.1,64.0,2.0,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0003, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.7348484848484849,0.8473684210526315,0.7272157845286564,0.8194070080862534,0.833879781420765,0.7925438959873583,0.0510539584715593,1,0.8438569659893671,0.8148694014574633,0.8387838742054199,0.8326327630098869,0.8510325400277553,0.8362351089379784,0.0122721084454594,raw_enmo_ai_jerk,6400,3,RNN,b296446b5e,,,,,,,,,,,
1,287.02515630722047,26.97784416241953,0.1168581008911132,0.0055399899356234,128,10,0.001,500,True,0.1,128.0,2.0,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 2, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.6347826086956522,0.7817310981867944,0.7126225490196079,0.6954545454545454,0.808242220353238,0.7265666043419674,0.0621300674002961,1,0.8375142099280031,0.7370596693026599,0.7623011468738439,0.8387838742054199,0.8392136358883195,0.8029745072396492,0.0442440151279474,raw_enmo_ai_jerk,6400,3,LSTM,b296446b5e,,,,,,,,,,,
5,73.28472561836243,33.715870642967495,0.0647080421447754,0.0071365007473091,128,10,0.001,500,True,0.1,128.0,1.0,mean,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 128, 'model__module__num_layers': 1, 'model__module__readout_mode': 'mean', 'model__optimizer__weight_decay': 0.0001}",0.6044869131699211,0.8567901234567901,0.7431638129312548,0.6712842712842713,0.7526041666666667,0.7256658575017809,0.0846960654765393,1,0.7810945273631842,0.7525910178049429,0.8020030816640986,0.7395270270270271,0.7956989247311828,0.7741829157180871,0.0242977831462323,raw_enmo_ai_jerk,6400,3,GRU,b296446b5e,,,,,,,,,,,
17,32.582018566131595,18.13279524893157,0.0462745666503906,0.0087449378467125,48,10,0.001,500,,0.1,,,,0.0001,"{'model__batch_size': 48, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__channels': 256, 'model__module__dropout': 0.1, 'model__module__kernel_size': 5, 'model__optimizer__weight_decay': 0.0001}",0.6357723577235772,0.8791666666666667,0.8067138735903487,0.5485175202156334,0.7526041666666667,0.7245549169725786,0.1185859650954984,1,0.8839826839826841,0.827831715210356,0.8540786070279478,0.6645814581458146,0.7887185005829074,0.803838592989942,0.0763465402554279,raw_enmo_ai_jerk,6400,3,CNN1D,5ee8b4f0c9,,,,,256.0,5.0,,,,,
12,2.268874168395996,1.5683526171358253,0.0298022747039794,0.0035989070242856,64,10,0.0001,500,,0.1,,3.0,,0.0001,"{'model__batch_size': 64, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0001, 'model__max_epochs': 500, 'model__module__d_model': 96, 'model__module__dim_feedforward': 384, 'model__module__dropout': 0.1, 'model__module__nhead': 4, 'model__module__num_layers': 3, 'model__module__patch_size': 32, 'model__optimizer__weight_decay': 0.0001}",0.6975488159534691,0.8335724533715925,0.715605493133583,0.5538582060321191,0.7973333333333333,0.7195836603648195,0.0969584890294644,1,0.6961451247165533,0.7172468774913633,0.8973145753159633,0.5311074621419449,0.7996354959322097,0.728289907119607,0.1214048464011087,raw,6400,3,Transformer,b24ce2b4c8,96.0,384.0,4.0,32.0,,,,,,,
2,45.578024291992186,10.047793116909592,0.0356451988220214,0.0020320306002456,128,10,0.001,500,True,0.1,64.0,1.0,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.001, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.6990718124084025,0.6671449067431852,0.7861702127659574,0.6588327457892675,0.6888188976377952,0.7000077150689216,0.045443115705073,1,0.7167240839336048,0.7057713579282973,0.6947956688787984,0.7381531615827668,0.7849462365591398,0.7280781017765214,0.031842476240495,enmo_ai,6400,3,LSTM,b296446b5e,,,,,,,,,,,
11,34.00989003181458,6.225653774271392,0.0277760505676269,0.0024131642661831,128,10,0.0003,500,True,0.1,64.0,1.0,attention,0.0001,"{'model__batch_size': 128, 'model__callbacks__early_stopping__patience': 10, 'model__lr': 0.0003, 'model__max_epochs': 500, 'model__module__bidirectional': True, 'model__module__dropout': 0.1, 'model__module__hidden_size': 64, 'model__module__num_layers': 1, 'model__module__readout_mode': 'attention', 'model__optimizer__weight_decay': 0.0001}",0.6493738819320215,0.6823658269441402,0.7796052631578947,0.6894226717235566,0.6409448818897638,0.6883425051294754,0.04925620108704,1,0.7346954937831631,0.6653486700215672,0.6981037086759523,0.7499576988155668,0.7282370474270186,0.7152685237446536,0.0301182712337701,enmo_ai_jerk,6400,3,RNN,b296446b5e,,,,,,,,,,,
